Municipio;ID;Ahuyama;Arracacha;Arveja verde;Banano;Cebada;Cebolla cabezona;Cebolla larga;Cilantro;Frijol;Habichuela;Lechuga;Lulo;Maiz Blanco;Papas;Papaya;Perejil;Pimenton;Pinna;Platano;Tomate;Yuca
Aratoca;10898;;;;;;;;;;;;;;;;;;;;;136
Aratoca;10905;;;;;;;;;;;;;;;;;;;62;;
Aratoca;10915;;;;;;;;;;;;;;;;;;;;;130
Aratoca;10916;;;;;;;;;;;;;;;;;;;;;144
Aratoca;10957;;;;;;;;;;;;;;;279;;;;;;
Aratoca;11034;;;;;;;;;;;;;;;;;;;62;;
Aratoca;11185;;;;;;;;;1;;;;;;;;;;;;
Aratoca;11274;;;;;;;;;;;;;;;;;;;;;135
Aratoca;11283;;;;;;;;;;;;;;;;;;;;;153
Aratoca;11348;;;;;;;;;;;;;;;;;;;;;130
Aratoca;11355;;;;;;;;;1;;;;;;;;;;;;
Aratoca;11433;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11434;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11435;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11436;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11437;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11438;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11439;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11441;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11442;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11443;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11444;;;;;;;;;;;;;;;;;;229;;;
Aratoca;11445;;;;;;;;;;;;;;;;;;229;;;
Aratoca;12641;;;;;;;;;;;;;;;;;;;;;128
Aratoca;12642;;;;;;;;;;;;;;;;;;;;;141
Barichara;14033;;;;;;;;;;;;;34;;;;;;;;
Barichara;14037;;;;;;;;;;;;;;;;;;234;;;
Barichara;14039;;;;;;;;;;;;;;;301;;;;;;
Barichara;14040;;;;;;;;;;;;;;;;;;234;;;
Barichara;14057;;;;;;;;;;;;;;;;;;;;;144
Barichara;14058;;;;;;;;;;;;;;;;;;;;;128
Barichara;14062;;;;;;;;;;;;;;;;;;;;;132
Barichara;14067;;;;;;;;;1;;;;;;;;;;;;
Barichara;14068;;;;;;;;;;;;;;;;;;;;;134
Barichara;14083;;;;;;;;;;;;;;;;;;234;;;
Barichara;14089;;;;;;;;;;;;;;;;;;234;;;
Barichara;14090;;;;;;;;;;;;;;;;;;234;;;
Barichara;14104;;;;;;;;;;;;;;;301;;;;;;
Barichara;14107;;;;;;;;;;;;;;;;;;;;;141
Barichara;14109;;;;;;;;;;;;;;;;;;;62;;
Barichara;14111;;;;;;;;;;;;;;;;;;234;;;
Barichara;14113;;;;;;;;;;;;;;;;;;;62;;
Barichara;14114;;;;;;;;;;;;;;;;;;234;;;
Barichara;14123;;;;;;;;;;;;;;;;;;;;;134
Barichara;14124;;;;;;;;;;;;;;;;;;234;;;
Barichara;14131;;;;;;;;;;;;;;;;;;234;;;
Barichara;14133;;;;;;;;;;;;;;;;;;234;;;
Barichara;14144;;;;;;;;;1;;;;;;;;;;;;
Barichara;14152;;;;;;;;;;;;;;;;;;234;;;
Barichara;14172;;;;;;;;;;;;;35;;;;;;;;
Barichara;14176;;;;;;;;;;;;;;;;;;;;;113
Barichara;14195;;;;;;;;;;;;;;;;;;234;;;
Barichara;14197;;;;;;;;;;;;;;;;;;234;;;
Barichara;14199;;;;;;;;;;;;;;;;;;234;;;
Barichara;14205;;;;;;;;;;;;;;;;;;234;;;
Barichara;14218;;;;;;;;;;;;;;;;;;;;;139
Barichara;14219;;;;;;;;;;;;;;;;;;;62;;
Barichara;14223;;;;;;;;;;;;;;;;;;234;;;
Barichara;14228;;;;;;;;;;;;;;;;;;234;;;
Barichara;14241;;;;;;;;;;;;;;;;;;234;;;
Barichara;14243;;;;;;;;;;;;;;;;;;234;;;
Barichara;14263;;;;;;;;;1;;;;;;;;;;;;
Barichara;14267;;;;;;;;;;;;;;;;;;;;;137
Barichara;14268;;;;;;;;;;;;;;;;;;;;;139
Barichara;14269;;;;;;;;;;;;;;;;;;;;;142
Barichara;14273;;;;;;;;;;;;;;;;;;;;;134
Barichara;14274;;;;;;;;;;;;;;;;;;;;;122
Barichara;14275;;;;;;;;;;;;;;;;;;;;;136
Barichara;14278;;;;;;;;;;;;;;;;;;234;;;
Barichara;14287;;;;;;;;;;;;;;;;;;234;;;
Barichara;14292;;;;;;;;;;;;;;;;;;234;;;
Barichara;14301;;;;;;;;;3;;;;;;;;;;;;
Barichara;14302;;;;;;;;;3;;;;;;;;;;;;
Barichara;14307;;;;;;;;;;;;;;;;;;;;;126
Barichara;14338;;;;;;;;;1;;;;;;;;;;;;
Barichara;14339;;;;;;;;;;;;;;;;;;234;;;
Barichara;14343;;;;;;;;;;;;;;;;;;234;;;
Barichara;14353;;;;;;;;;;;;;;;;;;234;;;
Barichara;14358;;;;;;;;;;;;;32;;;;;;;;
Barichara;14360;;;;;;;;;;;;;;;;;;234;;;
Barichara;14374;;;;;;;;;;;;;;;;;;;62;;
Barichara;14380;;;;;;;;;;;;;;;;;;;;;129
Barichara;14381;;;;;;;;;;;;;;;;;;;;;135
Barichara;14386;;;;;;;;;;;;;;;;;;234;;;
Barichara;14397;;;;;;;;;;;;;;;;;;234;;;
Barichara;14400;;;;;;;;;;;;;;;;;;;;;136
Barichara;14401;;;;;;;;;;;;;;;;;;;;;128
Barichara;14416;;;;;;;;;;;;;;;301;;;;;;
Barichara;14423;;;;;;;;;;;;;;;;;;234;;;
Barichara;14438;;;;;;;;;;;;;;;;;;;;;131
Barichara;14474;;;;;;;;;;;;;;;;;;;;;121
Barichara;14478;;;;;;;;;;;;;;;301;;;;;;
Barichara;14479;;;;;;;;;;;;;;;301;;;;;;
Barichara;14480;;;;;;;;;;;;;;;301;;;;;;
Barichara;14481;;;;;;;;;;;;;;;301;;;;;;
Barichara;14482;;;;;;;;;;;;;;;301;;;;;;
Barichara;14490;;;;;;;;;;;;;36;;;;;;;;
Barichara;14510;;;;;;;;;;;;;;;;;;;62;;
Barichara;14513;;;;;;;;;1;;;;;;;;;;;;
Barichara;14517;;;;;;;;;;;;;;;;;;;;;131
Barichara;14518;;;;;;;;;;;;;;;;;;234;;;
Barichara;14523;;;;;;;;;;;;;;;;;;;;;137
Barichara;14524;;;;;;;;;;;;;;;;;;234;;;
Barichara;14533;;;;;;;;;;;;;;;;;;234;;;
Barichara;14553;;;;;;;;;;;;;;;;;;;;;128
Barichara;14561;;;;;;;;;;;;;;;;;;;;;128
Barichara;14562;;;;;;;;;;;;;;;;;;;;;123
Barichara;14608;;;;;;;;;;;;;;;;;;234;;;
Barichara;14624;;;;;;;;;1;;;;;;;;;;;;
Barichara;14625;;;;;;;;;;;;;;;;;;;62;;
Barichara;14632;;;;;;;;;;;;;;;;;;234;;;
Barichara;14633;;;;;;;;;;;;;;;;;;234;;;
Barichara;14636;;;;;;;;;;;;;;;;;;;;;134
Barichara;14637;;;;;;;;;;;;;;;;;;;;;137
Barichara;14639;;;;;;;;;;;;;;;;;;;;;132
Barichara;14641;;;;;;;;;;;;;;;;;;;;;137
Barichara;14644;;;;;;;;;;;;;;;;;;234;;;
Barichara;14647;;;;;;;;;;;;;;;;;;234;;;
Barichara;14649;;;;;;;;;;;;;;;;;;234;;;
Barichara;14655;;;;;;;;;;;;;;;;;;234;;;
Barichara;14659;;;;;;;;;;;;;;;;;;234;;;
Barichara;14664;;;;;;;;;;;;;;;;;;;;;120
Barichara;14671;;;;;;;;;;;;;;;;;;;;;130
Barichara;14683;;;;;;;;;1;;;;;;;;;;;;
Barichara;14689;;;;;;;;;;;;;;;;;;234;;;
Barichara;14695;;;;;;;;;;;;;;;;;;234;;;
Barichara;14697;;;;;;;;;;;;;;;;;;;;;139
Barichara;14699;;;;;;;;;;;;;;;;;;234;;;
Barichara;14702;;;;;;;;;;;;;;;;;;;;;138
Barichara;14704;;;;;;;;;1;;;;;;;;;;;;
Barichara;14710;;;;;;;;;;;;;;;;;;;;;125
Barichara;14719;;;;;;;;;;;;;;;;;;;;;130
Barichara;14720;;;;;;;;;;;;;;;;;;;;;139
Barichara;14726;;;;;;;;;;;;;;;301;;;;;;
Barichara;14727;;;;;;;;;;;;;;;;;;234;;;
Barichara;14735;;;;;;;;;;;;;;;;;;234;;;
