Municipio;ID;Ahuyama;Arracacha;Arveja verde;Banano;Cebada;Cebolla cabezona;Cebolla larga;Cilantro;Frijol;Habichuela;Lechuga;Lulo;Maiz Blanco;Papas;Papaya;Perejil;Pimenton;Pinna;Platano;Tomate;Yuca
Aratoca;10905;;;;;;;;;;;;;;;;;;;0,62;;
Aratoca;10915;;;;;;;;;;;;;;;;;;;;;1,3
Aratoca;10916;;;;;;;;;;;;;;;;;;;;;1,44
Aratoca;10957;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;11034;;;;;;;;;;;;;;;;;;;0,62;;
Aratoca;11185;;;;;;;;;0,01;;;;;;;;;;;;
Aratoca;11274;;;;;;;;;;;;;;;;;;;;;1,35
Aratoca;11283;;;;;;;;;;;;;;;;;;;;;1,53
Aratoca;11348;;;;;;;;;;;;;;;;;;;;;1,3
Aratoca;11355;;;;;;;;;0,01;;;;;;;;;;;;
Aratoca;11433;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11434;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11435;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11436;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11437;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11438;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11439;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11441;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11442;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11443;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11444;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;11445;;;;;;;;;;;;;;;;;;2,29;;;
Aratoca;12641;;;;;;;;;;;;;;;;;;;;;1,28
Aratoca;12642;;;;;;;;;;;;;;;;;;;;;1,41
Barichara;14033;;;;;;;;;;;;;0,34;;;;;;;;
Barichara;14037;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14039;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;14040;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14057;;;;;;;;;;;;;;;;;;;;;1,44
Barichara;14058;;;;;;;;;;;;;;;;;;;;;1,28
Barichara;14062;;;;;;;;;;;;;;;;;;;;;1,32
Barichara;14067;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14068;;;;;;;;;;;;;;;;;;;;;1,34
Barichara;14083;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14089;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14090;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14104;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;14107;;;;;;;;;;;;;;;;;;;;;1,41
Barichara;14109;;;;;;;;;;;;;;;;;;;0,62;;
